selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
-0.29038325,-0.80012107,0.08350905,0.5811627,0.419428,-0.12535465,-0.516504,-0.22809184
-0.31383765,-0.1843272,0.29017597,-0.45274624,0.1151441,-0.03200777,-0.19583295,0.12714359
-0.6112753,0.21359155,0.9912857,-0.7145754,1.9928548,0.85401094,-1.059432,0.7059108
0.029186008,0.8056206,-0.42212072,-0.41694713,-0.35497758,-0.10975696,0.32608503,-0.33053288
0.104827456,1.9008132,-0.039401963,-1.4766928,-0.37734148,-0.4745302,-0.2702309,-0.08957451
0.05674233,0.104713984,0.26389664,0.28650543,0.057796948,-0.52895665,-0.42473307,-0.21539275
0.22616187,0.8556224,0.54098976,-0.54414904,-0.24472849,-0.68643755,-0.29849133,0.23825042
0.116722316,0.52620965,0.27733955,0.40884316,1.4264363,0.4146311,0.61100817,0.8183362
0.19518027,0.6464921,0.177887,-0.2602544,-0.36337164,-0.46013704,-0.021919817,-0.04368588
-0.06911187,0.33362624,-0.025966004,-0.68796355,-0.41084644,-0.6611445,-0.19082636,-0.059199262
-0.36707637,0.97050804,-0.44690144,-1.125241,-0.69110215,-0.37019852,0.27999055,-0.25631714
0.30476978,0.41976532,-0.33278364,-0.15691894,-0.08487898,-0.54807645,-0.22861359,-0.53385735
-1.1690533,0.35668427,-0.37587008,-1.4000932,-0.6259992,0.17880394,-0.70216984,-0.42682648
-0.16645029,0.4007943,-0.14137629,-0.27317858,-0.47355756,-0.13238709,0.08612741,-0.27331853
-0.741327,-0.019950753,1.1437349,-1.2278823,3.0723612,0.0071309176,-2.6211603,0.7176595
-0.9927016,0.16549954,0.015562923,-1.2167172,0.47171432,0.42827922,-0.4878321,-0.15504338
-0.85999537,1.4818225,0.06409545,-1.2737675,-0.8474156,0.17899758,-0.63457006,-1.2636967
-0.66449165,-0.3337556,0.6896089,-0.3815176,1.4087604,0.52836865,-0.4364183,0.51127625
0.40570408,0.97684133,0.7342233,-0.39661857,-0.12249793,-0.5573126,-0.461361,0.2081588
-0.041007016,0.4175608,-0.34413725,-0.14732397,-0.22541346,-0.0052677128,-0.30513194,-0.45200306
0.114529364,0.2825732,0.5867364,-0.34769705,0.005924629,-0.32964,-0.30390245,0.3012245
0.1913529,0.065695055,-0.07712096,0.19097109,0.14761044,-0.11581371,-0.13230398,0.01571245
-0.6697841,-1.0679451,0.12659575,0.56778723,0.6209266,-0.4404367,-1.3393549,-0.75280964
-0.7302944,-1.1808991,0.38932446,0.5265712,1.565589,0.4476658,-0.6170778,0.58776885
0.14494166,0.013698308,-0.18382321,0.24158145,0.32465565,0.11539652,-0.09267952,-0.018294247
-0.28516448,-0.87089616,-0.1376154,1.1443517,0.80667293,0.14920533,-0.3272575,-0.041889086
